 Input File ,   id   ,    Differences (COLUMN_NAME)    ,past_due_31_90,past_due_1_30,past_due_91_plus
 INPUT-2 ,7138,ENTRY PRESENT,0,0,948.5

 INPUT-1 ,7148,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,7148,ENTRY PRESENT,0,0,2708

 INPUT-1 ,7161,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,7161,ENTRY PRESENT,0,0,98.53

 INPUT-1 ,7210,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,7210,ENTRY PRESENT,0,0,11

 INPUT-1 ,7218,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,7218,ENTRY PRESENT,0,0,70

 INPUT-1 ,7320,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,7320,ENTRY PRESENT,0,0,83.25

 INPUT-1 ,7491,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,7491,ENTRY PRESENT,0,0,0.04



 INPUT-1 ,7732,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,7732,ENTRY PRESENT,0,0,1111

 INPUT-1 ,7743,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,7743,ENTRY PRESENT,0,0,7956.85

 INPUT-1 ,8069,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,8069,ENTRY PRESENT,0,0,872

 INPUT-1 ,8155,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,8155,ENTRY PRESENT,0,0,3

 INPUT-1 ,8248,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,8248,ENTRY PRESENT,0,0,171.8

 INPUT-1 ,8391,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,8391,ENTRY PRESENT,0,0,1374


 INPUT-1 ,9024,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,9024,ENTRY PRESENT,0,0,455

 INPUT-1 ,9027,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,9027,ENTRY PRESENT,0,0,30

 INPUT-1 ,9042,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,9042,ENTRY PRESENT,0,0,1888

 INPUT-1 ,9431,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,9431,ENTRY PRESENT,0,0,133


 INPUT-1 ,9648,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,9648,ENTRY PRESENT,0,0,616

 INPUT-1 ,9718,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,9718,ENTRY PRESENT,0,0,52

 INPUT-1 ,9761,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,9761,ENTRY PRESENT,0,0,5358.1

 INPUT-1 ,9778,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,9778,ENTRY PRESENT,0,0,1670

 INPUT-1 ,9790,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,9790,ENTRY PRESENT,0,0,63




 INPUT-1 ,10222,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,10222,ENTRY PRESENT,0,0,27

 INPUT-1 ,10353,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
